[Event "00008"]
[FEN "r6k/pp2r2p/4Rp1Q/3p4/8/1N1P2R1/PqP2bPP/7K b - - 0 24"]
[White "f2g3 e6e7 b2b1 b3c1 b1c1 h6c1"]
[White "1892"]
[WhiteElo "75"]
[Popularity "94"]
[BlackElo "4824"]
[Black "crushing hangingPiece long middlegame"]
f2g3 e6e7 b2b1 b3c1 b1c1 h6c1 1-0

[Event "0000D"]
[FEN "5rk1/1p3ppp/pq3b2/8/8/1P1Q1N2/P4PPP/3R2K1 w - - 2 27"]
[White "d3d6 f8d8 d6d8 f6d8"]
[White "1433"]
[WhiteElo "73"]
[Popularity "96"]
[BlackElo "23879"]
[Black "advantage endgame short"]
d3d6 f8d8 d6d8 f6d8 1-0

[Event "0008Q"]
[FEN "8/4R3/1p2P3/p4r2/P6p/1P3Pk1/4K3/8 w - - 1 64"]
[White "e7f7 f5e5 e2f1 e5e6"]
[White "1349"]
[WhiteElo "76"]
[Popularity "90"]
[BlackElo "469"]
[Black "advantage endgame rookEndgame short"]
e7f7 f5e5 e2f1 e5e6 1-0

[Event "0009B"]
[FEN "r2qr1k1/b1p2ppp/pp4n1/P1P1p3/4P1n1/B2P2Pb/3NBP1P/RN1QR1K1 b - - 1 16"]
[White "b6c5 e2g4 h3g4 d1g4"]
[White "1091"]
[WhiteElo "74"]
[Popularity "87"]
[BlackElo "550"]
[Black "advantage middlegame short"]
b6c5 e2g4 h3g4 d1g4 1-0

[Event "000Vc"]
[FEN "8/8/4k1p1/2KpP2p/5PP1/8/8/8 w - - 0 53"]
[White "g4h5 g6h5 f4f5 e6e5 f5f6 e5f6"]
[White "1556"]
[WhiteElo "81"]
[Popularity "89"]
[BlackElo "81"]
[Black "crushing endgame long pawnEndgame"]
g4h5 g6h5 f4f5 e6e5 f5f6 e5f6 1-0

[Event "000Zo"]
[FEN "4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35"]
[White "e5f6 e8e1 g1f2 e1f1"]
[White "1464"]
[WhiteElo "74"]
[Popularity "93"]
[BlackElo "492"]
[Black "endgame mate mateIn2 short"]
e5f6 e8e1 g1f2 e1f1 1-0

[Event "000aY"]
[FEN "r4rk1/pp3ppp/2n1b3/q1pp2B1/8/P1Q2NP1/1PP1PP1P/2KR3R w - - 0 15"]
[White "g5e7 a5c3 b2c3 c6e7"]
[White "1439"]
[WhiteElo "78"]
[Popularity "73"]
[BlackElo "499"]
[Black "advantage master middlegame short"]
g5e7 a5c3 b2c3 c6e7 1-0

[Event "000hf"]
[FEN "r1bqk2r/pp1nbNp1/2p1p2p/8/2BP4/1PN3P1/P3QP1P/3R1RK1 b kq - 0 19"]
[White "e8f7 e2e6 f7f8 e6f7"]
[White "1554"]
[WhiteElo "75"]
[Popularity "89"]
[BlackElo "467"]
[Black "mate mateIn2 middlegame short"]
e8f7 e2e6 f7f8 e6f7 1-0

[Event "000mr"]
[FEN "5r1k/5rp1/p7/1b2B2p/1P1P1Pq1/2R1Q3/P3p1P1/2R3K1 w - - 0 41"]
[White "e3g3 f7f4 e5f4 f8f4"]
[White "1941"]
[WhiteElo "85"]
[Popularity "62"]
[BlackElo "92"]
[Black "crushing middlegame short"]
e3g3 f7f4 e5f4 f8f4 1-0

[Event "000rO"]
[FEN "3R4/8/K7/pB2b3/1p6/1P2k3/3p4/8 w - - 4 58"]
[White "a6a5 e5c7 a5b4 c7d8"]
[White "1075"]
[WhiteElo "81"]
[Popularity "85"]
[BlackElo "63"]
[Black "crushing endgame fork short"]
a6a5 e5c7 a5b4 c7d8 1-0

[Event "000tp"]
[FEN "4r3/5pk1/1p3np1/3p3p/2qQ4/P4N1P/1P3RP1/7K w - - 6 34"]
[White "d4b6 f6e4 h1g1 e4f2"]
[White "2051"]
[WhiteElo "75"]
[Popularity "81"]
[BlackElo "114"]
[Black "crushing endgame short trappedPiece"]
d4b6 f6e4 h1g1 e4f2 1-0

[Event "00143"]
[FEN "r2q1rk1/5ppp/1np5/p1b5/2p1B3/P7/1P3PPP/R1BQ1RK1 b - - 1 17"]
[White "d8f6 d1h5 h7h6 h5c5"]
[White "1828"]
[WhiteElo "74"]
[Popularity "92"]
[BlackElo "2269"]
[Black "advantage middlegame short"]
d8f6 d1h5 h7h6 h5c5 1-0

[Event "0018S"]
[FEN "2kr3r/pp3p2/4p2p/1N1p2p1/3Q4/1P1P4/2q2PPP/5RK1 b - - 1 20"]
[White "b7b6 d4a1 a7a5 f1c1"]
[White "2580"]
[WhiteElo "110"]
[Popularity "90"]
[BlackElo "1570"]
[Black "advantage endgame pin short"]
b7b6 d4a1 a7a5 f1c1 1-0

[Event "001Wz"]
[FEN "4r1k1/5ppp/r1p5/p1n1RP2/8/2P2N1P/2P3P1/3R2K1 b - - 0 21"]
[White "e8e5 d1d8 e5e8 d8e8"]
[White "1127"]
[WhiteElo "81"]
[Popularity "87"]
[BlackElo "65"]
[Black "backRankMate endgame mate mateIn2 short"]
e8e5 d1d8 e5e8 d8e8 1-0

[Event "001XA"]
[FEN "1qr2rk1/pb2bppp/8/8/2p1N3/P1Bn2P1/2Q2PBP/1R3RK1 b - - 3 23"]
[White "b8c7 b1b7 c7b7 e4f6 e7f6 g2b7"]
[White "1600"]
[WhiteElo "74"]
[Popularity "92"]
[BlackElo "872"]
[Black "crushing discoveredAttack long master middlegame sacrifice"]
b8c7 b1b7 c7b7 e4f6 e7f6 g2b7 1-0

[Event "001gi"]
[FEN "r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18"]
[White "c7a8 a5c3"]
[White "849"]
[WhiteElo "122"]
[Popularity "58"]
[BlackElo "181"]
[Black "bodenMate hangingPiece mate mateIn1 middlegame oneMove"]
c7a8 a5c3 1-0

[Event "001h8"]
[FEN "2r3k1/2r4p/4p1p1/1p1q1pP1/p1bP1P1Q/P6R/5B2/2R3K1 b - - 5 34"]
[White "c4e2 h4h7 c7h7 c1c8 g8g7 c8c7"]
[White "1825"]
[WhiteElo "74"]
[Popularity "92"]
[BlackElo "338"]
[Black "crushing deflection kingsideAttack long middlegame sacrifice"]
c4e2 h4h7 c7h7 c1c8 g8g7 c8c7 1-0

[Event "001m3"]
[FEN "7r/6k1/2b1pp2/8/P1N3p1/5nP1/4RP2/Q4K2 w - - 2 38"]
[White "e2e6 h8h1 f1e2 h1a1"]
[White "1493"]
[WhiteElo "75"]
[Popularity "87"]
[BlackElo "262"]
[Black "advantage endgame short skewer"]
e2e6 h8h1 f1e2 h1a1 1-0

[Event "001om"]
[FEN "5r1k/pp4pp/5p2/1BbQp1r1/6K1/7P/1PP3P1/3R3R w - - 2 26"]
[White "g4h4 c5f2 g2g3 f2g3"]
[White "1027"]
[WhiteElo "80"]
[Popularity "89"]
[BlackElo "218"]
[Black "mate mateIn2 middlegame short"]
g4h4 c5f2 g2g3 f2g3 1-0

[Event "001u3"]
[FEN "2r3k1/p1q2pp1/Q3p2p/b1Np4/2nP1P2/4P1P1/5K1P/2B1N3 b - - 3 33"]
[White "c7b6 a6c8 g8h7 c8b7"]
[White "2175"]
[WhiteElo "81"]
[Popularity "55"]
[BlackElo "75"]
[Black "advantage hangingPiece middlegame short"]
c7b6 a6c8 g8h7 c8b7 1-0

[Event "001w5"]
[FEN "1rb2rk1/q5P1/4p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 b - - 0 29"]
[White "f8f7 c2h7 g8h7 g7g8q"]
[White "1157"]
[WhiteElo "77"]
[Popularity "94"]
[BlackElo "150"]
[Black "advancedPawn attraction mate mateIn2 middlegame promotion short"]
f8f7 c2h7 g8h7 g7g8q 1-0

[Event "001wb"]
[FEN "r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17"]
[White "h2g3 g6h5"]
[White "1431"]
[WhiteElo "187"]
[Popularity "65"]
[BlackElo "26"]
[Black "mate mateIn1 middlegame oneMove"]
h2g3 g6h5 1-0

[Event "001wr"]
[FEN "r4rk1/p3ppbp/Pp1q1np1/3PpbB1/2B5/2N5/1PPQ1PPP/3RR1K1 w - - 4 18"]
[White "f2f3 d6c5 g1h1 c5c4"]
[White "1108"]
[WhiteElo "75"]
[Popularity "95"]
